id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est,combatant_deaths
203839,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,2,"""Agence France Presse,2015-03-19,Six dead as clashes shut airport in south Yemen"";""Reuters News,2015-03-19,Plane attacks Hadi's Aden base as Yemen conflict worsens""",Agence France Presse;Reuters News,2015-03-19;2015-03-19,Six dead as clashes shut airport in south Yemen;Plane attacks Hadi's Aden base as Yemen conflict worsens,security sources ,1,‘Adan town,,‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,03/19/2015 00:00:00,03/19/2015 00:00:00,4,2,0,7,13,13,13,6
203933,,2015,True,Clear,1,13645,13645,Yemen (North Yemen): Islamic State,14609,14609,Government of Yemen (North Yemen) - IS,123,123,Government of Yemen (North Yemen),234,234,IS,1,"""Agence France Presse,2015-03-20,142 dead in Yemen mosque bombings claimed by IS""",Agence France Presse,2015-03-20,142 dead in Yemen mosque bombings claimed by IS,a source close to the militia ,4,Şa‘dah governorate,,Şa‘dah governorate,,17.063404,43.914882,POINT (43.914882 17.063404),154528,Yemen (North Yemen),678,Middle East,1,1,03/20/2015 00:00:00,03/20/2015 00:00:00,0,1,0,0,1,1,1,1
203936,,2015,True,Clear,1,13645,13645,Yemen (North Yemen): Islamic State,14609,14609,Government of Yemen (North Yemen) - IS,123,123,Government of Yemen (North Yemen),234,234,IS,3,"""Agence France Presse,2015-03-20,142 dead in Yemen mosque bombings claimed by IS"";""Reuters News,2015-03-20,Suicide bombers kill 137 in Yemen mosque attacks"";""Associated Press Newswires,2015-03-21,Bombings in Yemeni mosques kill more than 130""",Agence France Presse;Reuters News;Associated Press Newswires,2015-03-20;2015-03-20;2015-03-21,142 dead in Yemen mosque bombings claimed by IS;Suicide bombers kill 137 in Yemen mosque attacks;Bombings in Yemeni mosques kill more than 130,a member of the health ministry's operations committee,1,Şan‘ā’ city,,Amānat al ‘Āşimah governorate,,15.354722,44.206667,POINT (44.206667 15.354722),151649,Yemen (North Yemen),678,Middle East,1,1,03/20/2015 00:00:00,03/20/2015 00:00:00,0,4,1,141,146,146,146,4
203946,,2015,True,Clear,2,14596,13587,AQAP - Forces of Hadi,14596,14596,AQAP - Forces of Hadi,881,881,AQAP,6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-03-20,Clashes in south Yemen kill 29: security official""",Agence France Presse,2015-03-20,Clashes in south Yemen kill 29: security official,a security official ,4,Laḩij governorate,,Laḩij governorate,,13.166667,44.583332,POINT (44.583332 13.166667),148770,Yemen (North Yemen),678,Middle East,1,1,03/20/2015 00:00:00,03/20/2015 00:00:00,0,27,0,2,29,29,29,27
203954,,2015,True,Clear,2,14611,13597,IS - Forces of Hadi,14611,14611,IS - Forces of Hadi,234,234,IS,6254,6254,Forces of Hadi,2,"""BBC Monitoring Middle East,2015-03-21,Al-Qa'idah takes Yemen's Al-Hawtah city, kills 21 soldiers"";""Agence France Presse,2015-03-23,IS claims killing 29 Yemeni police""",BBC Monitoring Middle East;Agence France Presse,2015-03-21;2015-03-23,"Al-Qa'idah takes Yemen's Al-Hawtah city, kills 21 soldiers;IS claims killing 29 Yemeni police",A local security official  ,1,Laḩij town,,Laḩij governorate,Al Ḩawţah district,13.056667,44.881944,POINT (44.881944 13.056667),148770,Yemen (North Yemen),678,Middle East,1,1,03/21/2015 00:00:00,03/21/2015 00:00:00,0,29,0,0,29,29,29,29
203970,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-03-24,30 killed in central Yemen clashes: tribes""",Agence France Presse,2015-03-24,30 killed in central Yemen clashes: tribes,tribal sources ,4,al-Bayḑā’ governorate,,al-Bayḑā’ governorate,,14.34166,45.39442,POINT (45.394420 14.341660),150211,Yemen (North Yemen),678,Middle East,1,1,03/24/2015 00:00:00,03/24/2015 00:00:00,0,0,0,0,0,24,0,0
203972,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-03-24,30 killed in central Yemen clashes: tribes""",Agence France Presse,2015-03-24,30 killed in central Yemen clashes: tribes,tribal sources ,4,Ma'rib governorate,,Ma'rib governorate,,15.416667,45.35,POINT (45.350000 15.416667),151651,Yemen (North Yemen),678,Middle East,1,1,03/24/2015 00:00:00,03/24/2015 00:00:00,0,6,0,0,6,9,6,6
203997,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-03-24,Anti-government forces advance on southern Yemen""",Agence France Presse,2015-03-24,Anti-government forces advance on southern Yemen,a military source ,4,aḑ-Ḑāli‘ governorate,,aḑ-Ḑāli‘ governorate,,13.922541,44.76827,POINT (44.768270 13.922541),149490,Yemen (North Yemen),678,Middle East,1,1,03/24/2015 00:00:00,03/24/2015 00:00:00,0,0,0,10,10,10,10,0
203998,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-03-26,At least 13 civilians killed in Sanaa during Yemen offensive: civil defence""",Agence France Presse,2015-03-26,At least 13 civilians killed in Sanaa during Yemen offensive: civil defence,a civil defence source ,1,Şan‘ā’ city,,Amānat al ‘Āşimah governorate,,15.354722,44.206667,POINT (44.206667 15.354722),151649,Yemen (North Yemen),678,Middle East,1,2,03/25/2015 00:00:00,03/26/2015 00:00:00,0,0,13,0,13,13,13,0
203999,,2015,True,Clear,1,230,230,Yemen (North Yemen):Government,14595,14595,Government of Yemen (North Yemen) - Forces of Hadi,123,123,Government of Yemen (North Yemen),6254,6254,Forces of Hadi,1,"""Agence France Presse,2015-03-26,18 dead as rebels clash with pro-govt forces near Yemen's Aden""",Agence France Presse,2015-03-26,18 dead as rebels clash with pro-govt forces near Yemen's Aden,a local official ,1,Laḩij town,,Laḩij governorate,Al Ḩawţah district,13.056667,44.881944,POINT (44.881944 13.056667),148770,Yemen (North Yemen),678,Middle East,1,1,03/26/2015 00:00:00,03/26/2015 00:00:00,13,5,0,0,18,18,18,18
